battery_type,battery_id,battery_formula,working_ion,elements,nelements,formula_charge,formula_discharge,max_delta_volume,average_voltage,capacity_grav,capacity_vol,energy_grav,energy_vol,stability_charge,stability_discharge,id_charge,id_discharge,energy_density,working_ion_cost_per_kWh,battery_volume_cost
insertion,mp-1907_Li,Li0-1TiTe2,Li,"['Ti', 'Te']",2,TiTe2,LiTiTe2,0.127003166311809,1.20979101333333,86.4541597164069,468.277529484101,104.591465490193,566.517946915799,0.0,0.015745060625,mp-cvj,mp-pbx,0.18462162771648047,10.0,1.8462162771648047
insertion,mp-19177_Li,Li0-0.5CrO2,Li,"['Cr', 'O']",2,CrO2,LiCr2O4,0.11212447085603,2.35927423333333,153.211905195448,664.198452769274,361.46890016753,1567.02629543841,0.0,0.189611718888884,mp-bcjp,mp-cshsg,0.23067187909976958,10.0,2.306718790997696
insertion,mp-19183_Li,Li1-2NiO2,Li,"['Ni', 'O']",2,LiNiO2,Li2NiO2,0.077110788854318,3.25931580333333,256.291524538212,918.076495208057,835.335016187787,2992.3012295005,0.273997970833334,0.093135045000002,mp-blls,mp-bcjv,0.27916140525973326,10.0,2.7916140525973328
insertion,mp-19279_Li,Li0-2MnO2,Li,"['Mn', 'O']",2,MnO2,Li2MnO2,0.375377211173876,2.37615422833333,531.676020398049,1851.46665583431,1263.34422397226,4399.37032287888,0.019746214166666,0.009601621666668,mp-blid,mp-bcnn,0.28716478296956666,10.0,2.8716478296956667
insertion,mp-19308_Li,Li0-2NiO2,Li,"['Ni', 'O']",2,NiO2,Li2NiO2,0.375393767591123,3.28309028333333,512.583049076424,2065.67747892446,1682.85642782418,6781.8056595574,0.133447169444444,0.002541691000002,mp-bdboj,mp-bcoq,0.2481428268963418,10.0,2.481428268963418
insertion,mp-19338_Li,Li0-1MoO2,Li,"['Mo', 'O']",2,MoO2,LiMoO2,0.060147343841178,2.41290051333333,198.706412267544,1009.07633342517,479.458804162981,2434.80080291411,0.209947598333332,0.0289651621875,mp-bornn,mp-bcpu,0.19691910877848318,10.0,1.9691910877848318
insertion,mp-19340_Li,Li0-1VO2,Li,"['V', 'O']",2,VO2,LiVO2,0.027620072541691,2.94868878833333,298.18751114374,1176.48893884502,879.262170930568,3469.0997435705,0.138130571666666,0.0,mp-borpw,mp-bcpw,0.25345543106973534,10.0,2.534554310697353
insertion,mp-19394_Li,Li0-1.25VO2,Li,"['V', 'O']",2,VO2,Li5V4O8,0.068343315210637,2.39142102133333,365.674667204832,1414.31098809327,874.482086122706,3382.21302762898,0.161385609999999,0.053815585000002,mp-borqm,mp-brxlj,0.25855322505683365,10.0,2.5855322505683365
insertion,mp-19395_Li,Li0-0.25MnO2,Li,"['Mn', 'O']",2,MnO2,LiMn4O8,0.019039557832448,3.33104212083333,75.563459804812,303.44162100655,251.705067405725,1010.77682078676,0.0,0.027308942211537,mp-bcrz,mp-cfcfb,0.24902140831623393,10.0,2.490214083162339
insertion,mp-19408_Li,Li0-1V2O5,Li,"['V', 'O']",2,V2O5,LiV2O5,0.052290661947186,3.49799153083333,141.941209639626,444.443065728221,496.509149195652,1554.65807985492,0.012942245000001,0.025422144062501,mp-blkq,mp-bcsm,0.31936871240651493,10.0,3.1936871240651494
